,Brightness,Canny Edges,Dotted Line,Fog,Glass Blur,Identity,Impulse Noise,Motion Blur,Rotate,Avg
BasicNet,0.9708333015441895,0.6603333353996277,0.9506666660308838,0.9336666464805603,0.9591666460037231,0.9940000176429749,0.9490000009536743,0.9254999756813049,0.8941666483879089,0.9152592486805387
Cutout-7-1 BasicNet,0.7846666574478149,0.7541666626930237,0.9710000157356262,0.6446666717529297,0.9459999799728394,0.9944999814033508,0.9396666288375854,0.9465000033378601,0.909500002861023,0.8767407337824503
Cutout-7-1-FGSM-0.3 BasicNet,0.7371666431427002,0.8939999938011169,0.8843333125114441,0.5851666331291199,0.9448333382606506,0.9881666302680969,0.6616666316986084,0.9608333110809326,0.9045000076293945,0.8400740557246738
Cutout-7-1-L_inf-PGD-0.3-40 BasicNet,0.4541666507720947,0.9096666574478149,0.8858333230018616,0.5184999704360962,0.9461666345596313,0.984333336353302,0.6359999775886536,0.9474999904632568,0.8996666669845581,0.7979814675119188
Cutout-7-2 BasicNet,0.6069999933242798,0.7580000162124634,0.9566666483879089,0.45133331418037415,0.9210000038146973,0.9918333292007446,0.8613333106040955,0.9394999742507935,0.9179999828338623,0.8227407303121355
Cutout-7-2-FGSM-0.3 BasicNet,0.7006666660308838,0.8971666693687439,0.9076666831970215,0.596833348274231,0.9480000138282776,0.984666645526886,0.6474999785423279,0.9490000009536743,0.8988333344459534,0.836703704463111
Cutout-7-2-L_inf-PGD-0.3-40 BasicNet,0.49449998140335083,0.8576666712760925,0.8608333468437195,0.5848333239555359,0.9383333325386047,0.9821666479110718,0.5454999804496765,0.9318333268165588,0.8826666474342346,0.7864814731809828
Cutout-7-3 BasicNet,0.47083333134651184,0.6585000157356262,0.9605000019073486,0.4364999830722809,0.9348333477973938,0.9950000047683716,0.8211666345596313,0.9326666593551636,0.9148333072662354,0.7916481428676181
Cutout-7-4 BasicNet,0.7066666483879089,0.7509999871253967,0.949999988079071,0.6834999918937683,0.9058333039283752,0.9916666746139526,0.8188333511352539,0.9465000033378601,0.9099999666213989,0.8515555461247762
Cutout-7-5 BasicNet,0.26466667652130127,0.6848333477973938,0.937333345413208,0.4313333332538605,0.9340000152587891,0.9919999837875366,0.7541666626930237,0.953499972820282,0.9176666736602783,0.7632777790228525
Cutout-10-1 BasicNet,0.815500020980835,0.8688333034515381,0.9738333225250244,0.6166666746139526,0.9570000171661377,0.9928333163261414,0.9521666765213013,0.9564999938011169,0.9200000166893005,0.8948148157861497
Cutout-10-1-FGSM-0.3 BasicNet,0.7401666641235352,0.8970000147819519,0.906166672706604,0.6535000205039978,0.9424999952316284,0.987500011920929,0.6395000219345093,0.9519999623298645,0.8986666798591614,0.8463333381546868
Cutout-10-1-L_inf-PGD-0.3-40 BasicNet,0.5460000038146973,0.8974999785423279,0.8980000019073486,0.5584999918937683,0.9469999670982361,0.9789999723434448,0.6546666622161865,0.9449999928474426,0.8763332962989807,0.8113333185513815
Cutout-10-2 BasicNet,0.43533334136009216,0.8076666593551636,0.9576666355133057,0.4206666648387909,0.9293333292007446,0.9904999732971191,0.9233333468437195,0.9511666297912598,0.922333300113678,0.8153333200348748
Cutout-10-2-FGSM-0.3 BasicNet,0.675000011920929,0.9071666598320007,0.9088333249092102,0.6459999680519104,0.9419999718666077,0.9806666374206543,0.6765000224113464,0.9423333406448364,0.8888333439826965,0.8408148090044657
Cutout-10-2-L_inf-PGD-0.3-40 BasicNet,0.30383333563804626,0.8768333196640015,0.8794999718666077,0.48133331537246704,0.9326666593551636,0.9729999899864197,0.5105000138282776,0.9156666398048401,0.8359999656677246,0.7454814679092832
Cutout-10-3 BasicNet,0.4711666703224182,0.781333327293396,0.9415000081062317,0.43716666102409363,0.9258333444595337,0.9891666769981384,0.8513333201408386,0.937666654586792,0.9078333377838135,0.8047777778572507
Cutout-10-4 BasicNet,0.6203333139419556,0.7886666655540466,0.953000009059906,0.4494999945163727,0.9388332962989807,0.9884999990463257,0.8371666669845581,0.9175000190734863,0.9116666316986084,0.8227962884638045
Cutout-10-5 BasicNet,0.6473333239555359,0.8079999685287476,0.9294999837875366,0.6243333220481873,0.9173333048820496,0.9801666736602783,0.718999981880188,0.9129999876022339,0.8793333172798157,0.824222207069397
Cutout-14-1 BasicNet,0.20250000059604645,0.7426666617393494,0.9595000147819519,0.2515000104904175,0.9286666512489319,0.9919999837875366,0.9238333106040955,0.9303333163261414,0.8996666669845581,0.7589629573954476
