,Max Logit,Max Softmax,Cross Entropy,Avg
BasicNet,0.9955886388888889,0.9893181805555555,0.9965489583333333,0.9938185925925925
Cutout-7-1 BasicNet,0.9970005833333334,0.9894664027777778,0.9976585833333333,0.9947085231481481
Cutout-7-1-FGSM-0.3 BasicNet,0.9971385555555555,0.9892299166666667,0.9981983888888889,0.9948556203703705
Cutout-7-1-L_inf-PGD-0.3-40 BasicNet,0.988966138888889,0.979924361111111,0.9966318055555555,0.9885074351851851
Cutout-7-2 BasicNet,0.9982957777777777,0.9895712500000002,0.9990514444444444,0.9956394907407408
Cutout-7-2-FGSM-0.3 BasicNet,0.9943581944444445,0.98314225,0.9976333055555555,0.9917112499999999
Cutout-7-2-L_inf-PGD-0.3-40 BasicNet,0.9938797222222222,0.9805472638888889,0.9976623611111111,0.9906964490740741
Cutout-7-3 BasicNet,0.9942872222222223,0.9877808611111111,0.996557236111111,0.9928751064814815
Cutout-7-4 BasicNet,0.9965689722222223,0.9854891944444444,0.9973605277777778,0.9931395648148148
Cutout-7-5 BasicNet,0.9961296944444444,0.9857586666666667,0.9974366666666666,0.9931083425925925
Cutout-10-1 BasicNet,0.9957295,0.9883862916666667,0.9975695,0.9938950972222221
Cutout-10-1-FGSM-0.3 BasicNet,0.9980212222222222,0.9912839722222222,0.9990745833333333,0.9961265925925926
Cutout-10-1-L_inf-PGD-0.3-40 BasicNet,0.9946334444444445,0.9764133333333332,0.9977307777777777,0.9895925185185185
Cutout-10-2 BasicNet,0.9949243055555556,0.9807479861111112,0.9961212222222222,0.9905978379629629
Cutout-10-2-FGSM-0.3 BasicNet,0.997134638888889,0.9877178333333332,0.9986395,0.9944973240740741
Cutout-10-2-L_inf-PGD-0.3-40 BasicNet,0.9890154444444444,0.9706750972222222,0.9963116944444445,0.9853340787037038
Cutout-10-3 BasicNet,0.9960553888888888,0.9836687222222223,0.9974928055555555,0.9924056388888888
Cutout-10-4 BasicNet,0.9989341944444444,0.9923041805555556,0.9990724722222223,0.9967702824074074
Cutout-10-5 BasicNet,0.9979010833333333,0.9804576250000001,0.99891825,0.9924256527777778
Cutout-14-1 BasicNet,0.9953540277777778,0.9823215833333334,0.9982737500000001,0.9919831203703704
Cutout-14-2 BasicNet,0.9976374444444445,0.9889356805555556,0.9984071944444444,0.9949934398148148
Cutout-14-3 BasicNet,0.9943375555555556,0.9746665555555556,0.9952318333333334,0.9880786481481483
Cutout-14-4 BasicNet,0.9967838611111112,0.9818407916666666,0.9982328888888888,0.9922858472222221
Cutout-14-5 BasicNet,0.9963448888888888,0.9801303055555557,0.9977527777777778,0.9914093240740741
FGSM-0.2 BasicNet,0.9976470833333334,0.9918608472222221,0.9985952777777778,0.9960344027777778
FGSM-0.3 BasicNet,0.9962601111111111,0.9886669305555555,0.99778375,0.9942369305555555
FGSM-0.3-Cutout-7-1 BasicNet,0.9967813888888889,0.9864340972222222,0.9978609444444445,0.9936921435185185
FGSM-0.3-Cutout-7-2 BasicNet,0.9932145277777777,0.9821360416666667,0.99804075,0.9911304398148149
FGSM-0.3-Cutout-10-1 BasicNet,0.995905361111111,0.9852684861111112,0.9979537777777777,0.9930425416666666
FGSM-0.3-Cutout-10-2 BasicNet,0.9968835,0.9889649166666666,0.9991619444444444,0.9950034537037037
Mixup-0.25 BasicNet,0.9960721944444445,0.9956507777777778,0.9968885,0.9962038240740742
